slope,elevation,fault_distance,aspect,curvature,twi,lithology,label
85.6012954711914,947.0,50.0,22.61986494804043,-2.0,0.07387926319279835,2.0,1
57.6884651184082,796.0,50.0,288.434948822922,0.0,0.4900468046025137,2.0,1
85.78942108154297,850.0,50.0,263.6598082540901,-10.0,0.0707992391461941,2.0,1
84.45883178710938,1404.0,50.0,129.0938588862295,-7.0,0.09241094197844058,3.0,1
26.56505012512207,787.0,50.0,90.0,-1.0,1.098568659019921,2.0,1
82.67395782470703,1128.0,50.0,135.0,6.0,0.12080926531590466,2.0,1
72.45159912109375,353.0,50.0,251.56505117707798,4.0,0.2747093402713723,1.0,1
56.309932708740234,189.0,50.0,90.0,3.0,0.5107878748701314,1.0,1
83.92378997802734,479.0,50.0,295.2011236454751,-1.0,0.10099017652326284,1.0,1
57.6884651184082,415.0,50.0,198.434948822922,2.0,0.4900468046025137,1.0,1
84.2894058227539,521.0,50.0,90.0,0.0,0.09513481447493595,1.0,1
48.18968200683594,768.0,50.0,333.434948822922,-3.0,0.6388816388300651,2.0,1
81.8698959350586,591.0,50.0,180.0,-2.0,0.1334069458700501,2.0,1
68.1985855102539,834.0,50.0,270.0,-7.0,0.33642197924766126,2.0,1
79.85789489746094,690.0,50.0,26.56505117707799,-1.0,0.16446889213001378,2.0,1
82.94286346435547,734.0,50.0,68.19859051364818,-11.0,0.11657017284467756,2.0,1
54.73561096191406,792.0,50.0,315.0,2.0,0.5347630096048812,2.0,1
35.26438903808594,791.0,50.0,45.0,2.0,0.8813366841754368,2.0,1
60.98285675048828,141.0,50.0,303.69006752597977,1.0,0.44124167319845126,1.0,1
84.50994873046875,910.0,50.0,234.78240703180728,-13.0,0.09158718005749128,2.0,1
68.58328247070312,782.0,50.0,281.30993247402023,0.0,0.3308573479706543,2.0,1
64.7605972290039,188.0,50.0,135.0,2.0,0.3861723781489246,1.0,1
86.35558319091797,626.0,50.0,217.23483398157467,-2.0,0.06147234379207985,2.0,1
56.309932708740234,176.0,50.0,90.0,-1.0,0.5107878748701314,1.0,1
56.309932708740234,777.0,50.0,270.0,-1.0,0.5107878748701314,2.0,1
86.28541564941406,941.0,50.0,256.86597769360367,-1.0,0.06263185801412473,2.0,1
86.6291732788086,948.0,50.0,76.37300514010846,-1.0,0.0569335716762283,2.0,1
85.81198120117188,917.0,50.0,203.74949449286675,-10.0,0.07042843632588623,2.0,1
86.7401123046875,827.0,50.0,289.98310652189997,-1.0,0.0550872917663742,2.0,1
83.66948699951172,1113.0,50.0,70.5599651718238,-23.0,0.10504788621315352,2.0,1
81.47447967529297,1096.0,50.0,167.0053832080835,-10.0,0.1395623239518099,2.0,1
57.6884651184082,767.0,50.0,161.565051177078,-6.0,0.4900468046025137,2.0,1
87.50868225097656,709.0,50.0,225.88140399658212,-13.0,0.04218767148001273,2.0,1
86.29513549804688,663.0,50.0,330.94539590092285,-20.0,0.06247134151892504,2.0,1
87.48539733886719,767.0,50.0,171.15818543980834,-14.0,0.042581231428881476,2.0,1
60.98285675048828,174.0,50.0,33.690067525979785,-7.0,0.44124167319845126,1.0,1
81.2791976928711,236.0,50.0,175.6012946450045,4.0,0.14259264399036592,1.0,1
64.7605972290039,830.0,50.0,45.0,-4.0,0.3861723781489246,2.0,1
86.7025375366211,911.0,50.0,221.49646835521554,-17.0,0.055714821827616716,2.0,1
85.97779846191406,631.0,50.0,280.12467165539783,-5.0,0.06770436905769396,2.0,1
35.26438903808594,769.0,50.0,315.0,0.0,0.8813366841754368,2.0,1
71.79923248291016,137.0,50.0,80.53767779197439,-1.0,0.2842164025928617,1.0,1
87.90107727050781,927.0,50.0,256.21840276434637,-2.0,0.03551872273402806,2.0,1
68.1985855102539,140.0,50.0,270.0,-5.0,0.33642197924766126,1.0,1
48.18968200683594,783.0,50.0,296.565051177078,-1.0,0.6388816388300651,2.0,1
85.81198120117188,800.0,50.0,66.25050550713324,-8.0,0.07042843632588623,2.0,1
86.18592071533203,725.0,50.0,233.13010235415598,-16.0,0.06427693070119894,2.0,1
